======================================================================
動画: 260722 Showroom - AKB48 Team 8 Hashimoto Haruna 231515.mp4
生成時間: 2026-07-23 00:12:17.365185
要約モデル: gemini-3.5-flash
[00:07:43] ちょっと待って、このポーチ。
[00:07:53] まずポーチ紹介しよう。
[00:07:55] あ、ポーチじゃない、これ。あ、手乗せる台だ。
[00:07:58] 別にそんな、あの
[00:08:00] 机に載っけるから
[00:08:02] あれだけど。まあまあまあ。
[00:08:06] ちょっと本格的に余計やるならね。
[00:08:09] 台があったりとか。
[00:08:12] まあ、多分ね、こう
[00:08:14] あの、あんまりネイルとかあんま分かんないよ、みたいな
[00:08:18] 人もね、ファンの方には多いと思うので。
[00:08:21] あれなんですけど。
[00:08:23] でもやっぱ
[00:08:24] 新しいことを始める時に買う物って結構
[00:08:30] テンション上がるじゃないですか。
[00:08:33] そう。
[00:08:36] じゃーん。
[00:08:37] これが
[00:08:40] 光ですね。
[00:08:42] UVライト。これを使って
[00:08:46] この、なんて言うんですか？
[00:08:48] ジェルネイルをやっていくっていう感じですね。でか。
[00:08:52] 激でか。
[00:08:56] LEDライト。
[00:08:59] めっちゃでかい。
[00:09:00] でも、これまでが、もう本当に、もうこれぐらいのコンパクトのしかなくて。
[00:09:05] そう。
[00:09:07] でも、こんなでっかいの。もうすごいよ、見て、中が。
[00:09:11] めっちゃLED。
[00:09:17] 楽しみ。
[00:09:19] でもなんかコンセントがこのタイプなので、壊れたら終わりそう。
[00:09:24] 普通にまたライトだけ買わなきゃとかになりそうですね。
[00:09:35] でも基本的に、私は本当に、あの、すごいなんか
[00:09:40] 凝った、こういうジェルネイルをやるっていうよりも、こういうのをね、やるっていうより、もう本当にワンカラーで
[00:09:47] ささ、みたいな。
[00:09:51] 感じでもいいかな、みたいな気持ちでいるので。
[00:09:55] はい。
[00:10:01] とにかく、その時間のね
[00:10:04] あれがね、あれだからっていう、あれで
[00:10:08] あれなんですよ。
[00:10:11] はい。
[00:10:16] ライトの点灯を確認してください、だって。
[00:10:21] まず
[00:10:22] 最初に。
[00:10:29] 購入後すぐだったら
[00:10:31] 返品交換してくれましたって。
[00:10:40] お。
[00:10:41] お、付きます、付きます。
[00:10:44] こうやって
[00:10:47] 付く付く。
[00:10:48] 大丈夫です。
[00:10:50] ありがとうございます。
[00:10:54] よし。
[00:11:18] 光を当てると固まるんですよ。
[00:11:22] そう。
[00:11:30] あの、レジンとかってよく聞きません？
[00:11:34] UV
[00:11:37] レジンみたいな、なんかアクセサリーとかを作ったりとかする。
[00:11:41] ああいう感じですね。
[00:11:46] はい。
[00:11:52] で、こちら
[00:11:55] すごいよ。
[00:12:05] どこから開けるんだろう？
[00:12:10] ここか。
[00:12:13] ここだ。
[00:12:17] これが
[00:12:23] うわー。
[00:12:24] すごい。パーツとかも付いてくるんだ。
[00:12:30] すごくない？
[00:12:36] もう本当に、これがあれば始めれます、みたいなセットをガチで買ったので。
[00:12:45] もう始めれちゃう。
[00:13:00] 全部工程とかも書いてあって。
[00:13:18] すごい。
[00:13:20] お。
[00:13:28] これがジェルブラシ。
[00:13:40] ブラシとかも
[00:13:42] いっぱい付いてます。
[00:13:57] 本当にすごいですね。
[00:14:01] これが付いてたりとか。
[00:14:09] で
[00:14:11] じゃじゃーん。パーツ、ネイルパーツ。
[00:14:17] でも昔、ファンの方に頂いた物もあるので、そういうのも使っていこうかなって思ってます。
[00:14:39] パーツが付いてたりとか。
[00:14:43] これ何だろう？
[00:14:47] ベースとかですね。
[00:14:51] 長持ちする下地を作るのに特化したベース専用のクリアジェル。
[00:14:57] とか、色々。
[00:15:05] 未硬化ジェルの出ないタイプで、ウルツヤトップ
[00:15:10] トップジェルみたいな。
[00:15:13] やつとか。
[00:15:15] が入ってたり。
[00:15:17] じゃじゃーん。
[00:15:18] このキラキラセットが入ってたり。すごい。
[00:15:22] 使わないかもしれないけど、これ。
[00:15:28] いろんな種類のキラキラが入ってて、めっちゃ可愛いです。
[00:15:34] あ、ハサミ。
[00:15:36] ハサミ落ちてきた。
[00:15:44] とか。
[00:15:47] 他にも
[00:15:49] こう、筆が入ってたりとか。
[00:15:56] 下にね。
[00:15:58] こう、マットが入ってたりとか。ほら。
[00:16:03] かわいいピンセット。
[00:16:11] でも筆。
[00:16:12] 全然また、ハケと毛先が違う筆。
[00:16:16] が入ってたりとか。
[00:16:20] とか。
[00:16:29] あとは、この
[00:16:32] こういうでっかいパーツを取る用のニッパーが入ってたりとか。
[00:16:41] ブラシ。
[00:16:42] とかも使うんですよ。
[00:16:44] 削ったりするからね。この粉が邪魔だったりするから、それがあったりとか。
[00:16:50] 何だろう、これは。
[00:16:54] ジェル用プライマー、ウルトラボンド。何か分からない。
[00:16:58] 調べてから使います。
[00:17:02] とか、キューティクルネイルオイル。
[00:17:09] が入ってたりとか。
[00:17:11] 本当にめっちゃ入ってる。あと、カバン？じゃないな、これは。
[00:17:21] 私もあんまり分からないので。
[00:17:24] 本当にでも、まあまあまあ。
[00:17:27] あ。
[00:17:28] ここに入れる用の
[00:17:30] で、こうやって保存しとく用の。うわ、ありがてえ。
[00:17:35] こうやってね、全部
[00:17:37] 入れてね。
[00:17:39] 入れて、入れて。
[00:17:43] そこ入れるの忘れてた。
[00:17:46] 入れ物がね。
[00:17:49] 入ってて。
[00:17:52] 入れて、入れて。
[00:17:58] ちょっと一旦ね。
[00:18:01] 収納のこととか考えずに、とりあえず
[00:18:05] 入れておく。
[00:18:07] 一旦とりあえず入れておく。
[00:18:10] 収納まで揃ってるよ。
[00:18:19] これも入れれるし。
[00:18:24] この台も入れたりとか。
[00:18:27] こうやって入れるのが
[00:18:29] 一番きれいに、入るのか分かんないけど。まあ、とりあえずね。
[00:18:34] うん。一旦とりあえず。だって、どうせすぐ使うから。
[00:18:38] 今日は使わないけど。もう今日は寝るけど。
[00:18:41] 配信終わってお風呂入ったら。
[00:18:44] 明日とかね、それこそ。
[00:18:47] 配信中にネイルしたりしてみましょう。
[00:18:50] せっかく買ったから。
[00:18:56] で、まあ。
[00:18:59] ネイルと言ったらね、皆さん。
[00:19:02] え、ハルピョン。
[00:19:04] ネイルするって言ってるけど、あれなくない？って思いませんでした？
[00:19:08] じゃじゃーん。
[00:19:12] こちら。
[00:19:18] ネイルの色。
[00:19:21] ネイルカラー。
[00:19:25] すごくない？こんなに。
[00:19:37] なんか、ちょっと漏れてるけど、大丈夫そう？
[00:19:39] 1個。見て、めっちゃ漏れてる。
[00:19:44] え、大丈夫でしょ？まあまあ、ネット配送ですからね。
[00:19:49] そんなもんよ。
[00:19:52] うん、ちょっと全体的に
[00:19:54] 蓋、蓋甘いな。
[00:20:01] すごい、だって、ほら、ゆるゆるよ、だいぶ。
[00:20:05] まあ、ネット配送ですから。
[00:20:21] ちょっとティッシュで
[00:20:23] 拭き取って。
[00:20:35] うん。
[00:20:41] 全体的に。うわ、これにも付いてる。
[00:20:45] やば。
[00:20:50] これ使えるやん。
[00:20:53] もう早速。
[00:20:57] えぐいえぐい。
[00:21:05] 蓋、甘々ですよ、もう。めっちゃ。
[00:21:08] そんなことあるってぐらい甘い。
[00:21:19] うん。
[00:21:26] こいつだ。こいつが
[00:21:28] マスタード君が
[00:21:30] 出てきてんだ。
[00:21:34] うわー。
[00:21:37] マスタード君が漏れ出てきてます。
[00:21:49] まあ、でも
[00:21:52] うわ。
[00:22:01] なんでこんなこいつだけ出てきてんの？って感じだけど。
[00:22:16] 結構溢れてます。
[00:22:20] 黄色でよかった。ピンクとかだとさ、よく使うから。
[00:22:33] いや、もうこのために、返金対応してっていう、あの、なんか
[00:22:38] その、なんか、ネットをするのが面倒くさいんですよね。
[00:22:42] うん。
[00:22:48] それが面倒くさくて
[00:22:50] いいです。別に。
[00:22:52] って思っちゃう。
[00:22:56] いや、もうなんか、本当に、なんか
[00:22:58] 例えば
[00:23:00] それこそ、すごい
[00:23:02] ええ、さすがにこれはやばくね？みたいな
[00:23:06] ものは、ちょっとさすがに
[00:23:09] 言っちゃうかもしれないけど。まあ、これもさすがにやばくね？の範囲だと思うけど。
[00:23:14] 結構。
[00:23:25] だいぶ漏れてるんでね。
[00:23:38] まあ、これは許容かな。
[00:23:45] めんどくさいが勝っちゃうからね。
[00:23:48] 私は。
[00:23:53] あとあんま使わな、いい、使わなそうな色だからっていうのはありますね。
[00:24:15] あ、他の色が。
[00:24:20] ピンクだったら、うーん、まあ、でも
[00:24:25] 別に
[00:24:26] 拭いてきれいになるし。
[00:24:30] めんどい。
[00:24:35] うん。だから、いいです、もう。
[00:24:42] だって、他も多分結構
[00:24:45] 危うい奴らが、多いです。
[00:24:48] はい。
[00:24:55] うん。
[00:25:01] うん。
[00:25:08] うん。
[00:25:15] ちょっとこの紙だけでも欲しいな、普通に。
[00:25:19] うん。
[00:25:21] これだけ困るかも。何色を買うか分からないから。
[00:25:26] この紙だけください。
[00:25:28] って気持ち。
[00:25:31] 説明書だけで。
[00:25:34] うん。
[00:25:47] うん。
[00:25:52] 初期不良などありましたら
[00:25:56] 場合は
[00:25:58] 対応します、だって。
[00:26:01] いや、もういいです。
[00:26:04] 夜だし、めんどくさいし。
[00:26:10] うん。
[00:26:33] 自分の爪が
[00:26:35] 黄色になってきたことぐらい
[00:26:38] 悲しいことと言えば。
[00:26:45] はい。
[00:26:54] ほら、黄色。ちょっと指が、手が黄色っぽくなってきた。
[00:27:06] そんぐらい。
[00:27:17] あとこれが使えないことですかね。
[00:27:34] 色を入れておく。
[00:27:54] まあ、でも
[00:27:59] ネットで買うってそういうことも起きるよねって話。
[00:28:11] ほら、結構ね、こうやって
[00:28:13] 出てきそうなのは
[00:28:15] 多々あるやつの中からマスタードだけが出てきてたっていう話ですね。
[00:28:20] OK。全部
[00:28:22] 黄色だ。
[00:28:25] あ、ここにも付いてる。
[00:28:30] 取り切りました。
[00:28:37] でも本当に見て、いろんな色があって、めっちゃ可愛い。
[00:28:52] こういう感じで、本当に、もう、なんて言うんですか？
[00:28:56] もうワンカラーで塗っていく、みたいな感じになると思います。基本的に。
[00:29:04] 色がたくさん。うれしい。
[00:29:08] うん。
[00:29:13] ちょうど見て、いい置き場がありました。
[00:29:24] あ、でも足りないわ。これ買わなきゃ。
[00:29:27] 100均かニャン。
[00:29:32] これもう1個なかったっけ？
[00:29:35] もう1個ぐらいあると思ってたけど。
[00:29:46] 2段にしたら、ちょっとはみ出ちゃうん。
[00:29:51] まあ、一旦ね。一旦2段にしといて。
[00:29:56] また
[00:29:57] 片付ける時に
[00:30:00] 考えます。
[00:30:03] でも、なるべく、こう、上にしておいた方がいいよね。また漏れる可能性があるから。
[00:30:08] そう、横になってたから多分漏れたんだろうなって思うので。
[00:30:12] はい。
[00:30:20] なるべく上で
[00:30:22] やりたいと思います。ということで。
[00:30:25] 私の
[00:30:27] 新しい
[00:30:30] お仲間ちゃんたちでした。
[00:30:35] しっかりと
[00:30:39] まあ、そんな、なんて言うんだろう？
[00:30:41] 別に
[00:30:43] 誰かにやるっていうわけでもないので。
[00:30:45] 自分でただただ楽しむだけの
[00:30:48] ものなので。
[00:30:51] はい。
[00:30:57] はい。
[00:31:03] とっても良いお買い物を
[00:31:06] しました。
[00:31:11] まあ、だから、月、なん、3週間に1回とか、それぐらい。
[00:31:15] まあ、本当にネイルが外れたら
[00:31:19] ネイル配信になることが増えるとは思います。
[00:31:23] はい。
[00:31:25] よろしくお願いします。
[00:31:27] ぜひ
[00:31:28] 温かい目で
[00:31:31] お見守り
[00:31:33] していただけると
[00:31:35] 嬉しいです。ここに書いてあることって全部この説明書に書いてあるのかな？
[00:31:48] 書いてないやん。
[00:31:54] うん。
[00:31:58] なんか大事そうなことなので。
[00:32:04] 残しといた方が良さそう。
[00:32:17] 説明書に書いといてくれればいいのに。
[00:32:21] うん。
[00:32:32] うん。
[00:32:42] よし。なんか、その使用上の注意が
[00:32:46] こっちに書いてなくて。
[00:32:52] そう。
[00:32:55] ご使用の手順とかしか書いてなくて。
[00:32:58] 絶対使用上の注意必要だよね。
[00:33:01] 絶対大事だよね。
[00:33:08] よし。
[00:33:10] ということで、以上、私がまず
[00:33:17] 最近買ったもの1つ目紹介
[00:33:22] でした。続いて2つ目。
[00:33:26] 1つで終わると思いました？
[00:33:28] あ、すごくない？マジでこれだけで収まった。
[00:33:34] ちょっとあれまだ入ってないけど。
[00:33:37] でもなんか整頓したらライトも入りそう。
[00:33:40] これも入りそうな予感。
[00:33:45] 無理かにゃ。
[00:33:47] 続いて
[00:33:50] 皆様
[00:33:53] 私の
[00:33:56] 最近なんかTwitterが賑やかでございましたけれども。
[00:34:02] あ、すごい髪の毛。
[00:34:06] ご存知でございますでしょうか？
[00:34:09] じゃじゃーん。ザルラーメン。
[00:34:14] はい。もう私は
[00:34:17] この子たちが
[00:34:21] いるから生きていけると言っても過言ではない。
[00:34:24] 美味しかったでしょ？
[00:34:27] みんな
[00:34:29] 食べた？今日。
[00:34:30] 本当に。
[00:34:32] 夏のお供、マジで。
[00:34:34] この夏
[00:34:36] もうピョンズの皆さんに
[00:34:38] 食べてもらいたいって
[00:34:40] 思うぐらい
[00:34:41] 本当に美味しいんですよ。
[00:34:45] はい。
[00:34:46] 作るのはマジで簡単。麺を茹でるだけなんで。
[00:34:50] はい。
[00:34:53] マジでそう。まあ、あとはもうその具材とかお好みでって感じなんですけど。
[00:34:59] ぜひ。
[00:35:01] 本当に。私、本当にずっと言ってたじゃないですか。もう
[00:35:05] 数ヶ月前から「ザルラーメン、ザルラーメン、ザルラーメン」って。
[00:35:09] ずっと言ってたの覚えてます？
[00:35:14] それの
[00:35:15] それがなんか、ずんちゃんがたまたまTwitterで、こう
[00:35:19] 言ったやつが、私が本当に好きなこれだったんですよ。
[00:35:22] だから「え、私も」って言ったら、なんかマルちゃんさんの
[00:35:26] こう、Twitterさんが
[00:35:28] なんか中の方から
[00:35:30] リプが来て
[00:35:31] ええ、みたいな。
[00:35:34] 嬉しい。
[00:35:38] これが本当に大好きなので。
[00:35:41] ぜひ、皆さんもゲットしてみてください。本当に普通にスーパーで売ってます。
[00:35:49] 私はこの味が一番好きです。
[00:35:53] はい。
[00:35:56] ぜひ皆さん拡散してください。
[00:36:23] はい。
[00:36:25] 本当に大好きなんです、これ。
[00:36:27] マジで。
[00:36:28] あの
[00:36:29] 本当に、私
[00:36:31] 高校生ぐらいの時から
[00:36:34] ずっと愛し続けて
[00:36:40] いるはず。
[00:36:41] 多分。
[00:36:43] 高校生。まあ、でも大学生では絶対味噌。
[00:36:46] 高校生、大学生ぐらいから。え、マジで？ずっと愛し続けてやまない
[00:36:51] ものなので。
[00:36:58] 何がそんなに
[00:37:00] 引きつけ、え、もっと前からあるかも、でも。
[00:37:04] 中学生とかぐらいから本当に、あるかもしれない。え、本当に分からない。なんか気づいたら隣にいた、みたいな。
[00:37:11] うん。
[00:37:15] 本当にそういう商品なんですけど。
[00:37:18] あの
[00:37:19] やっぱ夏って夏バテするじゃないですか。で、私、やっぱ、こう、まあ
[00:37:23] お母さんとかって、こう、そうめんとか作ってくれるじゃないですか、皆さん。
[00:37:27] でも私、本当に、もうそうめん食べすぎて、そうめんにマジで飽きてた時があったんですよ、一時。
[00:37:33] で、その時に、こう
[00:37:35] じゃあ、ザルラーメンは？みたいな感じで
[00:37:39] そう、ザルラーメンを食べたのが多分きっかけで。
[00:37:43] そう。
[00:37:43] まあ、今はもう全然そうめんも好きだし、やっぱ夏バテみたいな気持ちになったら、もう一番に食べたいものってやっぱ冷たい麺類じゃないですか。
[00:37:54] そう。
[00:37:54] でもやっぱ、こう、そうめんばかり食べ続けて、ちょっと味に変化欲しいな、みたいな時
[00:38:02] にマジでおすすめで。
[00:38:03] このタレも美味しいんですよ。
[00:38:06] はい。
[00:38:08] そうなんです。
[00:38:13] なので、ぜひ。
[00:38:15] あの、私の美味しい食べ方、美味しい食べ方というか、私なりの食べ方は、まあ、このザルラーメンをちょっとこのここに書いてあるよりも、3分ぐらいって書いてあるんですけど。
[00:38:24] まあ、3分半ぐらい茹でて。
[00:38:26] で
[00:38:27] ちょっと多めに茹でつつ
[00:38:30] それを、もう、この水でガーン、締める時に
[00:38:34] マジで、もう氷水にバーン、締めるんですよ。
[00:38:37] ギョーン、なるじゃないですか。
[00:38:41] 分かります？
[00:38:43] ちょっと多めに茹でて、ギョーン、締めて、麺を。
[00:38:46] で、あの
[00:38:49] 食べるんですけど。
[00:38:50] 普通に。
[00:38:51] で、この、そのつゆの中にネギ入れたりとかして
[00:38:55] 食べるんですけど。
[00:38:56] あの、何と言っても
[00:39:00] それを
[00:39:02] そのつゆがあるじゃないですか。
[00:39:04] そのつゆを、あの、全部麺を食べ終わった後に、いや、ちょっと塩分過多だよ、ハルピョン、大丈夫？って聞かれるかもしれないんですけど。
[00:39:10] ちょっとそういうことを1回、頭の、あの、置いといて。
[00:39:16] あの、体のこととかは一旦置いといて。
[00:39:19] あの、その
[00:39:22] つゆ、あるじゃないですか。
[00:39:25] 残ったつゆを、あの、ちょっと
[00:39:28] あったかめの
[00:39:30] なんか、まあ、多分、本当は茹で汁とかがいいのかな？分かんないけど、私はまあ普通に
[00:39:35] あの、お、沸かしたお湯を、こう、入れて。
[00:39:39] すって。
[00:39:40] そば湯みたいな感じで飲むのが一番美味しいんですよ。
[00:39:45] はい。
[00:39:48] はい。
[00:39:50] ガチで。
[00:39:52] はい。
[00:39:54] 本当に美味しいのです、こちら。
[00:39:57] え、待って、AKBって今さ、なんかそんな、な、なんか、え、なんか麺類系の、方々とコラボしてないですよね？
[00:40:05] こんなに紹介してるけど、私、なんか、規約違反ですとかないですよね？大丈夫ですよね？ちょっと待って、大丈夫かな？
[00:40:13] 何も考えずに普通にめっちゃ紹介してるけど。
[00:40:19] 汗汗。
[00:40:21] でも本当に美味しいので。
[00:40:23] ぜひ、皆さん、マジで買ってほしい。マジで、本当になんか、マジで美味しいです。
[00:40:30] よろしくお願いします。
[00:40:34] はい。
[00:40:40] はい。
[00:40:45] 食べる前に写真送ってほしい。あ、えっと、机きれいにしたら送ります。
[00:40:50] すいません。
[00:40:51] そこから。あ。
[00:40:53] 全てを。
[00:40:55] 全てはそこから。
[00:41:07] いや、分かる。焼きそばも美味しいよね。
[00:41:10] 分かんないよ。
[00:41:11] でもやっぱ私はもうこれが一番、本当に。
[00:41:15] はい。
[00:41:17] 本当にこれが一番。
[00:41:19] ガチで。
[00:41:21] え、食べながら配信やったことないっけ？私、ザルラーメン。
[00:41:25] ないか。
[00:41:32] こんなに食べてんのに。
[00:41:40] だ、多分、あれかも。
[00:41:44] あ、作るところは絶対に映さないです。はい、すいません。あの、その場合は台所も片付ける必要があるんで。
[00:41:51] はい。
[00:41:56] すいません。
[00:42:05] ということで、最近私が買ったもの紹介でございました。
[00:42:15] サホさんと料理配信コラボしたら？いや、無理だよ。
[00:42:18] サホさんのあんなさ、素敵なさ、料理あるじゃないですか。
[00:42:22] おさ、なんかさ、もう、私はさ、もう麺茹でるだけで必死なの。
[00:42:28] だからこんな、麺茹でるだけで、あの、作れるこのザルラーメンに本当に助かってるのに。
[00:42:35] もうなんか、下味つけてとかってやってらっしゃるサホさんの、あの、もう無理です。
[00:42:40] ありがとう、マルちゃんさんって気持ち。
[00:42:42] 麺を茹でるだけでこんなに美味しいご飯を食べさせてくれてありがとうって気持ちです。ガチで。本当に。
[00:42:49] はい。
[00:42:55] 本当に。
[00:43:05] サホさんがやってることは主婦の方みんなやってる。え、だから本当に、あの、ご飯を作れる人は私全員尊敬してるので。
[00:43:13] はい。
[00:43:15] うん。ガチで。え、てか、家の中、家の冷蔵庫に、あの
[00:43:19] ちゃんと、飲み物以外の食べ物が、ちゃんと、なんて言うの？
[00:43:24] 素材が入ってる人が本当に尊敬します。
[00:43:30] はい。
[00:43:31] 私、本当に飲み物と、まあ、こういうその、なんて言うの？茹でるだけ系
[00:43:36] しか入ってないので。
[00:43:38] はい。あと急速時間。
[00:43:42] なので、ちゃんと素材が、入ってる人はマジで大尊敬。
[00:43:47] すげえって思う。本当に。
[00:43:53] 本当にすげえって思うので。
[00:43:55] え、ネギをどうするかによりますよ。そのネギだけ入ってるのは、もう一緒、一緒。うちと一緒。
[00:44:03] そうじゃなくて、例えばネギ1本、ドーンってやつを、こうなんか
[00:44:11] みじん切りにして、チャーハンにしてとかだったらもう大尊敬。ネギチャーハン、大尊敬。
[00:44:17] ガチで。
[00:44:20] うん。でも、あの
[00:44:22] 刻みネギとか、あ、普通に、あの
[00:44:26] 添えるだけのネギ、みたいな方は、もうハルピョンと一緒。
[00:44:31] はい。
