======================================================================
動画: 260708 Showroom - AKB48 Team 8 Hashimoto Haruna 230043.mp4
生成時間: 2026-07-08 23:53:00.860095
要約モデル: gemini-2.5-flash
[09:24:00] ピアノマンさん、バラ、バラ台風みたいなやつ。
[09:29:00] ありがとう。
[09:34:00] そう。
[09:35:00] で、それを、あの、一旦奥底に埋めてるというか
[09:40:00] あの、奥底に置いてあるんですよ。
[09:46:00] そう。
[09:47:00] でも明日からめっちゃ暑くなるらしいからね。
[09:52:00] うん。
[09:57:00] 物をどかさないと出せない。あ、そんなことないです、全然。
[10:04:00] ちょっと、1個だけどかしたいかなって感じ。
[10:09:00] だってさ、冬の間使わないのにそんなすぐにだすところに置いとかなくない？
[10:16:00] そう。だから、まあ、1つだけ物どかせばでも出てくる。
[10:21:00] そう。
[10:23:00] でもそれがめんどくさい。で、しかも組み立てなきゃいけない、その扇風機。
[10:31:00] それがめんどくさい。
[10:37:00] 分解してあります、今。
[10:40:00] だって、しまう時に分解されてる方が
[10:45:00] しまう幅取らないじゃないですか。
[10:50:00] だから分解してある。
[10:53:00] 組み立てるところから。
[11:04:00] 大きさは変わらない。うーんと
[11:09:00] 扇風機って
[11:14:00] こうついてるじゃないですか。
[11:17:00] わかります？
[11:18:00] これを
[11:22:00] こうバラけさせることによって
[11:24:00] なんかこれは
[11:28:00] こうだし
[11:31:00] こうじゃないですか。
[11:33:00] わかります？
[11:36:00] だからこれをこうやってバラけさせることによって綺麗に収まるんですよ。でもこれにこうでこうだと
[11:44:00] ここがもったいないじゃないですか。
[11:46:00] でしょ？
[11:49:00] そう。
[11:51:00] だから、ばらけ。だからそんなでっかい部屋に住んでないんだってうち。もう。
[11:59:00] もういかに
[12:01:00] 1つ1つのものを小さくするかだよ。
[12:05:00] マジで。
[12:24:00] お、
[12:25:00] 水玉1個取れてる。
[12:33:00] 悲しい。
[12:36:00] まあ、もうわかんないからいっか。
[13:03:00] すっぴん久しぶりに見た。
[13:05:00] 昨日の朝とかすっぴんで配信してました。
[13:14:00] うん。
[13:20:00] アイテムだらけの謎解きって面白い？
[13:26:00] 行ったっけ？なんだ？アイテムだらけ。
[13:39:00] ああ、これか。
[13:41:00] 面白かったですよ。わちゃわちゃ系。
[13:47:00] マジで？
[13:49:00] ストップマークとかそういう系。
[13:54:00] わちゃわちゃ。鍵だらけの、あの、私たちがYouTube企画で。すいませんね、声が。
[14:04:00] YouTube企画でやった。鍵だらけみたいな。
[14:08:00] ああいう系。
[14:11:00] クリアしたはず。いつ行ったっけ？
[14:17:00] え、てかYouTubeじゃない、なんだっけ？Twitterに載っけてた？うち。
[14:34:00] いろんなもの載っけてなさすぎて。
[14:48:00] さほさんのんで見た。あら。
[14:51:00] 載せなきゃ。まだやってるしね。
[14:57:00] 載せます。
[15:18:00] これもだし、あれも載っけなきゃ。
[15:21:00] 昨日さほさんが載っけてたビンゴ。
[15:25:00] うん。
[16:05:00] 載っけなきゃいけないのがいっぱい。
[16:09:00] これ載っけたっけ、うち。
[16:14:00] こないだ
[16:17:00] 整理してて見つけたんだけど。
[16:29:00] これ載っけたっけ？
[16:34:00] ハッシュタグ。
[16:38:00] あ、載っけてるわ。
[16:45:00] トラブルだらけのライブハウスからの脱出。
[16:56:00] ん。
[17:11:00] あとあれも載っけなきゃ。
[17:14:00] ああ。
[17:18:00] ちょっとメモっとこ。
[17:24:00] リバースに
[17:26:00] 載せるもの。えっと
[17:29:00] ビンゴ。
[17:37:00] ビンゴ。
[17:40:00] アイテム。
[17:46:00] 裸。
[17:50:00] クイズ。
[17:56:00] かな。多分これなはず。この3つぐらいじゃないかな、載っけてないの。あと何かあったっけな。
[18:50:00] あれ、これ、まあ、いいや。ちょっとこれはまだ言えない。
[18:57:00] まだ
[18:58:00] まだ告知されてない。
[19:02:00] 危ない、危ない。
[19:04:00] 最終回答は出したでしょ？
[19:15:00] これ何？あ、ゲムマもね、さほさんと行ったやつ載せた。
[19:20:00] 僕マシも載せた。
[19:27:00] 嬉しいお知らせって言ってさ、全然できてないの多すぎてさ
[19:32:00] 申し訳なくなってくる。
[19:46:00] ほんまに。あ、前に1個言ってた嬉しいお知らせっていうか、そのお仕事行ってきてって言ったやつは、あの、アップティーさんの
[19:55:00] あの、取材でした。
[19:59:00] フェス自体は中止になっちゃってなくなったけど
[20:03:00] でも、あの
[20:05:00] 告知という、なんて言うの？
[20:08:00] あれはちゃんと
[20:12:00] その取材の記事はちゃんと出たから
[20:15:00] よかったーって感じ。
[20:28:00] 生誕で言ってたやつは全然まだ。
[20:32:00] 卒業式も載っけた。
[20:37:00] 謎解きキングダムも載っけたから多分この3つだな、載っけてないの。
[20:51:00] え、あと、もう1個あったよね。あの、28までに終わるって言ってたやつ。
[20:57:00] 僕マシと、もう1個。なんだ？
[21:02:00] でもこれはもう
[21:04:00] ほぼ
[21:07:00] あ、忘れなだ。
[21:10:00] 忘れ雪。
[21:19:00] よし。
[21:21:00] すいません。
[21:23:00] リバースをメモに使ってます。
[21:30:00] あと私結局さ、写真のさ、生写真の告知もさ、するの忘れたし。
[21:35:00] しますとか言って。
[21:38:00] ほんまに。
[21:41:00] するする詐欺。
[21:44:00] うちマジ詐欺師。
[21:48:00] 詐欺しすぎる。
[21:51:00] ごめんね。
[21:59:00] うちかさん。
[22:01:00] バラ台風。ありがとうございます。
[22:04:00] これを私はバラ台風と呼んでます。
[22:10:00] 多分今日だけ。明日になったら忘れる。
[22:21:00] でも今日片付けをしてて
[22:23:00] ここれって何なんだろうって
[22:26:00] 疑問に思った文字が、表記が1個あって
[22:31:00] このEXPってやつ。
[22:34:00] 化粧品とかに書かれてるEXPって何なんだろうって思って調べたんですよ。したら、その賞味期限みたいな。コスメ用品の賞味期限みたいな。
[22:47:00] そう、使用期限みたいな。
[22:52:00] 感じらしくて、これは2029年まで
[22:55:00] いける。
[22:57:00] だから
[22:58:00] そう、でももちろん、その1番最初に使い始めたらなるべく早めに使った方がいいのは事実なんですよ。そりゃ、その肌にこうやって触れてるわけで。これはまだ使ってないから
[23:10:00] あれなんですけど。
[23:12:00] そう。
[23:14:00] でも未開封だったらこれは2029年まで使えるので
[23:18:00] ラッキーみたいな。
[23:22:00] そう。
[23:26:00] 片付けのセットログはないです。
[23:29:00] はい。あの、片付け前が汚すぎて写真になんて写せません。
[23:34:00] 本当に。
[23:36:00] はい。
[23:39:00] ゴミ袋のセットログなら、どんどん増えていくゴミ袋。
[23:44:00] でもそんな出てないです、別に。なんかゴミがあるわけじゃないので。
[23:51:00] そう。
[23:56:00] 本当に物が多いだけなんで。
[24:02:00] そう。
[24:05:00] それを
[24:07:00] こうどうするか、っていう問題。どこにどうしまって、みたいな。
[24:11:00] っていう問題なだけであって。
[24:15:00] だから、あ、ここには今ないんですけど、あ、ここだ。
[24:20:00] さっきまでやってたのは、この中にパックが入ってたんですよ。フェイスパック。
[24:25:00] がいっぱい入ってたんですけど、これフェイスパックを入れると
[24:30:00] ちょっと今ここにフェイスパックがないのであれなんですけど、はみ出ちゃうんですね、どうしても。
[24:35:00] 絶対にこうやって入れると、こうちょっとはみ出ちゃうんですよ。これ勿体ないじゃないですか。この分だけ、例えば、これ本当は元々蓋付きの収納容器だから、収納ボックスだから、本当は蓋を閉めてその上にもう一個置けるはずなのに、このフェイスパックがはみ出てることによって蓋が無駄になってるみたいな。
[24:58:00] っていうのをやめたくて、このボックスから別のボックスにフェイスパックを移動させて
[25:07:00] そう。それで
[25:11:00] あの、この箱が1回開きましたみたいな。で、今一旦とりあえずこういう試供品とかがいっぱい入ってる。
[25:19:00] 適当に入れて。
[25:21:00] そう。
[25:24:00] でもこれも、あの
[25:28:00] なんて言うんですか？
[25:31:00] カードケースホルダーみたいなやつに、私はこうストックして、ためて入れているので。
[25:37:00] そうです。
[25:40:00] やっぱ化粧道具、化粧品を買うと試供品もね、ありがたいことに付けてくださる。ので、で、今って本当に昔よりも
[25:51:00] その外で
[25:55:00] の現場というか
[25:57:00] その、どっかに行く現場がなくなってきたんですよ、私は。
[26:02:00] 他のメンバーはね、やってると思うんですけど。
[26:05:00] こう地方に行ってとかっていうのがなくなってきて
[26:09:00] そう、別に
[26:10:00] 泊まりでどこかに行くっていうことはないからこそ
[26:14:00] こういう試供品とか
[26:17:00] こういう1回きりで使えるやつとか、大体私はこういうのをいつも
[26:23:00] あの
[26:24:00] そういう時に使ってたんですけど
[26:29:00] もう使わなくなったというか
[26:33:00] そう。
[26:38:00] てなってどんどん溜まっていっちゃうみたいな感じですね。
[26:43:00] そう。
[26:44:00] だからなるべく
[26:47:00] 使ってあげると
[26:49:00] いいんですけど、あんま使わないっていう。
[26:54:00] そう。
[27:00:00] うう。
[27:09:00] でもいざ全部捨てると
[27:13:00] わ、突然
[27:15:00] 外でのお仕事とかってなったりとか、それこそこういう
[27:21:00] こう、これは化粧品とクリーム、化粧水とクリーム
[27:26:00] っていうか美容液系
[27:28:00] とクリームなんですけど
[27:31:00] こう、それこそおされさんの現場、おされさんがメイクしてくださる現場だと
[27:36:00] あの、大体いつもその化粧水とか
[27:41:00] を貸してくださるので
[27:44:00] そう、持っていかなくても
[27:48:00] 大体いつも貸していただけるっていうことが多いんですけど
[27:52:00] 普通にそのおされさんじゃないメイクさんが来てくださる現場もあるじゃないですか、そりゃ。
[27:59:00] てなった時に
[28:01:00] こう、こういうちっちゃいのもっていくと、そこで使って、そこでゴミポイってして帰れるから、めっちゃ便利。
[28:09:00] そう、いつもみたいに使ってるでっかいドーンってやつを持っていくのより
[28:15:00] こういうちっちゃいのもっていくと
[28:19:00] 楽だよって感じ。
[28:21:00] そう。
[28:23:00] そういう時にも使ってます、私は。
[28:28:00] うん。
[28:45:00] はい。
[29:12:00] 秀明ラジオ来週はるぴょんのゲストですか？はい。
[29:15:00] そうです。皆さん、何時だっけ？明日、
[29:19:00] 明日の
[29:25:00] お便り待ってます。明日7月9日朝9時まで。
[29:33:00] 緊急募集。
[29:37:00] よろしくお願いします。
[29:39:00] 本当に。
[29:44:00] このお便りって、こういうお便りって、まあ、採用されないからいっかって思わないでください。本当に。あの、あ、この子ののお便りを募集するとこんなに来るんだっていう、そのなんか
[29:59:00] 先方さんへの
[30:01:00] すごいでしょ、はるぴょんって！みたいなアピールにもなるので、あんまりこういうのってメンバーから言うことじゃないかもしれないんですけど、よろしくお願いします。いっぱい送ってください。
[30:16:00] はい。
[30:27:00] 私の
[30:29:00] Twitterから
[30:31:00] 飛べます。飛べるっていうか、メールアドレスとか書いてあるので。
[30:36:00] 私のTwitterにぜひ、ずっきーとのツーショット写真が載ってるTwitterにぜひ
[30:42:00] 行ってみてください。よろしくお願いします。
[30:51:00] ハート。
[31:03:00] そんな感じかな。
[31:05:00] 明日も朝早いし、そろそろ
[31:10:00] 寝ようかにゃ。
[31:12:00] 今日はもう
[31:14:00] 今日のノルマはもう終わり。
[31:17:00] クリアーというか
[31:19:00] もう終わり。
[31:20:00] 今日はノルマあんまり別に決めてやってないかも、でも。
[31:24:00] なんかちょっとでも片付けば、みたいな
[31:28:00] 気持ちでやってたので。
[31:32:00] はい。
[31:45:00] ノルマは決めてない。
[31:48:00] お。
[31:51:00] いや、なんでもない。
[31:55:00] ということで
[32:03:00] 今日はそろそろ終わります。
[32:22:00] また明日
[32:25:00] 朝早く起きて
[32:31:00] 早くして
[32:33:00] 公演を頑張ります。
[32:41:00] 明日は
[32:43:00] 上手多めポジなので
[32:45:00] ぜひ来てくださるぴょんずさんたちは
[32:48:00] 上手で集合よろしくお願いします。
[32:58:00] それでは
[33:11:00] 最後にランキングを読んで終わりにしたいと思います。
[33:17:00] 1位シャーさん、2位ゆうまさん、3位せんべいホるんさん、4位ぎょうやんさん、5位ともゆきさん、6位まじー、7位土堂ねいとさん、8位ひろきさん、9位ろうにんさん、10位Aダッシュアトピアンドさん、11位YSA73さん、12位ラブケンさん、13位ピアノマンさん、皆さんありがとうございました。
[33:52:00] ということで
[33:54:00] 今日は明日が朝早いので今日はもう終わっちゃうんですけど、明日朝メイク配信が、あの、のんびりゆっくり起きれたらやろうと思っているのと
[34:06:00] まあ、無理だったら夜とか、その
[34:10:00] 合間とかもあるので、公演、公演前とか。
[34:14:00] まあ、どっかのタイミングでは絶対に配信やります。
[34:19:00] ということで、今日も一日ありがとうございました。最後にランキングは読みました。キャッチフレーズはしません。
[34:28:00] それでは、ありがとうございました。おやすみなさい。
[34:33:00] またねー。バイバイ。また明日。おやすみ。
