======================================================================
動画: 260508 Showroom - AKB48 Team 8 Hashimoto Haruna 221250.mp4
生成時間: 2026-05-08 23:31:52.438155
要約モデル: gemini-3-flash-preview
[08:39:00] お願い、お願い、お願いと思って。でも今一回とりあえず両替しに行こうと思って。
[08:45:00] そう、両替してもらって、もう両替はここでお願いしますみたいな。
[08:50:00] 書いてあって。
[08:51:00] 両替してもらって。
[08:54:00] で、まあ入れたんですね、お金を。そしたら、次に出たのがこちら。
[09:07:00] 主人公、日向翔陽。
[09:13:00] まあ被ってないだけ許すけどさ。
[09:17:00] お前かい。
[09:20:00] 翔陽も好きなんだけどね。
[09:23:00] お前かーい、みたいな。まあもう
[09:26:00] いないなーって、みたいな。そう。
[09:29:00] はあ、と思って。
[09:33:00] まあでも、もう一回。もう見えてるの。本当に。普通に。もう超見えてて。
[09:39:00] もう残りも本当、3つ4つぐらいしか中になくて。
[09:44:00] ええ、もう欲しいと思って。もう一回回したら。
[09:48:00] 次に出たのが
[09:51:00] こちら。
[09:59:00] クロさん、えっとさ。
[10:02:00] えーとさ、待って待って。今私さっき紹介したと思うんですけど、まあ全5種類で、えーとさ、待って待って待って。
[10:10:00] 全5種類で推しメンが1人ここにいるんですけど、えーっと、えー、えー、えー、えーっと。
[10:18:00] どういうこと？
[10:20:00] あ？
[10:22:00] これはどうなっているの？
[10:24:00] ちょっと待って。
[10:26:00] まあ持ち方的にこうか。えっと、どうなっているの？
[10:30:00] 目の前にでもガチャガチャの中身は推しメンがいる。えーとさ。
[10:35:00] もうなんか自暴自棄、投げやりになって。
[10:39:00] もうえ、もう何出てもいいよもう。もうどうせ被るし。と思って。最後。
[10:44:00] もう一回。もう最後。本当に最後。これで最後。ガチャガチャ回したら。
[10:
